keywords
""
"[""医用喷墨蓝胶片"",""医用脱脂纱布块"",""医用脱脂纱布"",""医用脱脂棉"",""数字式多功能外伤清洗机"",""多波长脉冲光治疗平台"",""多功能红外激光治疗仪"",""股骨颈钉"",""髓内针"",""脊柱侧弯矫正棒"",""金属角度型接骨板"",""准分子激光角膜屈光治疗机"",""医用氧气加压舱"",""软体舱"",""医用臭氧治疗仪""]"
"[""血糖血压测试仪(商品名：CLEVER"",""电子针疗仪(商品名：中低频理疗仪)"",""红外线治疗器"",""顶力治疗器(商品名：脑颈腰综合治疗仪)"",""TDP特定电磁波治疗器"",""蓝氧一次性冲洗管"",""雷火灸(商品名：赵氏雷火灸)"",""高频电刀"",""腕式电子血压计"",""癌抗原CA15-3校准品"",""游离前列腺特异性抗原校准品"",""癌胚抗原(CEA)校准品"",""总前列腺特异性抗原校准品"",""针管收纳式静脉留置针"",""一次性使用麻醉用针（商品名：一次性使用神经阻滞针）""]"
"[""一次性使用无菌注射针"",""吗啡/甲基安非他明二合一检测试剂盒(胶体金法)"",""梅毒螺旋体抗体检测试剂盒(光激化学发光法)"",""一次性高低组合负压引流瓶"",""血管紧张素转换酶测定试剂盒(连续监测法)"",""铁蛋白测定试剂盒(乳胶比浊法)"",""免疫球蛋白G测定试剂盒(免疫比浊法)"",""弓形虫IgG抗体检测试剂盒(胶体金法)"",""风疹病毒IgG抗体检测试剂盒(胶体金法)"",""巨细胞病毒IgG抗体检测试剂盒(胶体金法)"",""一次性使用静脉留置针"",""甲胎蛋白(AFP)校准品"",""肿瘤标志物多项质控品"",""铁蛋白校准品"",""TCu宫内节育器""]"
"[""单纯疱疹病毒Ⅱ型IgG抗体检测试剂盒(酶联免疫法)"",""甲胎蛋白(AFP)定量测定试剂盒(化学发光免疫分析法)"",""病人监护仪"",""病人监护仪"",""沙眼衣原体抗原检测试剂盒(胶体金法)"",""轮状病毒、腺病毒抗原检测试剂盒(胶体金法)"",""丙型肝炎病毒抗体检测试剂盒(微粒子化学发光法)"",""乙型肝炎病毒核心抗体检测试剂盒(微粒子化学发光法)"",""软性亲水接触镜(商品名：缤纷)"",""乙型肝炎病毒核心抗体检测试剂盒(酶联免疫法)"",""乙型肝炎病毒e抗体检测试剂盒(酶联免疫法)"",""乙型肝炎病毒表面抗体检测试剂盒(酶联免疫法)"",""吗啡检测试纸条(胶体金法)"",""甲型流感病毒通用型核酸检测试剂盒(PCR-荧光探针法)"",""乙肝五项检测卡(胶体金法)""]"
"[""甲基苯丙胺检测试剂盒(胶体金法)"",""金属直型接骨板"",""骨栓"",""单纯疱疹病毒Ⅰ型IgG抗体检测试剂盒(酶联免疫法)"",""单纯疱疹病毒1型IgG抗体亲和力检测试剂盒(酶联免疫法)"",""单纯疱疹病毒2型IgG抗体亲和力检测试剂盒(酶联免疫法)"",""巨细胞病毒IgG抗体检测试剂盒(磁微粒化学发光法)"",""甲型肝炎病毒IgM抗体检测试剂盒(胶体金法)"",""假丝酵母显色平板(OCCA)"",""GC琼脂药敏试验平板"",""真菌药敏试验琼脂平板(MHGMB)"",""动脉压迫止血器"",""医用电动病床"",""加温输液泵用管路"",""软性亲水接触镜""]"
"[""二氧化碳激光治疗仪"",""柯萨奇病毒A16型IgM"",""庚型肝炎病毒IgG抗体检测试剂盒(酶联免疫法)"",""银夹"",""颈椎前路板固定系统"",""颈椎后路固定系统"",""生物安全柜"",""ABO、RhD血型抗原检测卡（微柱凝胶）"",""丙型肝炎病毒抗体检测试剂盒(胶体金法)"",""人感染H7N9禽流感病毒RNA检测试剂盒(荧光PCR法)"",""血液透析浓缩液(商品名：透析液)"",""空心纤维透析器"",""软性亲水接触镜"",""软性亲水接触镜"",""三维适形放射治疗计划系统""]"
"[""PTCA球囊扩张导管"",""一次性使用导管鞘组(商品名：Advance"",""电极片文匯自粘膠電極片、文匯硅膠電極片"",""呼吸潮湿加热器及附件"",""眼电生理检查系统"",""全自动尿液分析仪"",""医用干式胶片"",""一次性使用脉冲冲洗系统"",""单纯疱疹病毒2型IgM抗体测定试剂盒"",""单纯疱疹病毒2型IgG抗体测定试剂盒(时间分辨荧光免疫法)"",""CD3-FITC/CD8-PE/CD45-PerCP/CD4-APC荧光单克隆抗体试剂盒(流式细胞仪法)"",""CD3-FITC/CD4-PE/CD45-PerCP荧光单克隆抗体试剂盒(流式细胞仪法)"",""医用电子直线加速器"",""钴-60远距离治疗机"",""医用辅助袜（商品名：优妮思）“康譜”醫用輔助襪(未滅菌)""]"
"[""粪便收集管袋组原文名称：“太平洋”硅質留置型糞便收集管袋組"",""软性亲水接触镜(商品名:"",""金属骨针"",""金属矫形用钉"",""金属股骨颈固定钉、"",""金属直型接骨板"",""人呼吸道合胞病毒IgM抗体检测试剂盒(酶联免疫法)"",""样本处理液"",""医用纸胶片"",""超声治疗增强定位组件"",""SJ型试镜架"",""创面护理功能性敷料(商品名：立见护创液)"",""巨细胞病毒IgM抗体测定试剂盒(时间分辨荧光免疫法)"",""细胞角蛋白5/6检测试剂盒(免疫组织化学法)"",""医用放大镜""]"
"[""医用压舌板"",""乙型肝炎病毒e抗原检测试剂盒(酶联免疫法)"",""一次性使用动静脉穿刺针"",""一次性使用无菌注射器"",""车载创伤急救包"",""医用棉球"",""定制式固定义齿"",""定制式活动义齿"",""神经网络重建仪(商品名：生物反馈神经康复治疗仪)"",""特定电磁波谱(TDP)辐射板"",""医用激光打印机"",""金属髓内针(商品名：梅花针)"",""戊型肝炎病毒IgM抗体检测试剂盒（化学发光法）"",""氯胺酮检测试剂盒(胶体金法)"",""甲基安非他明检测试剂盒(胶体金法)""]"
"[""吗啡检测试剂盒(胶体金法)"",""二亚甲基双氧安非他明检测试剂盒(胶体金法)"",""吗啡/甲基安非他明/氯胺酮联合检测试剂盒(胶体金法)"",""安眠贴"",""康琦护眼贴"",""鼻舒贴"",""康琦头痛贴"",""痛经静电理疗贴"",""一次性使用无菌备皮包"",""一次性手术扩张器"",""骨质增生贴"",""颈椎康贴"",""一次性使用精密过滤器"",""一次性使用精密过滤输液器"",""一次性使用精密过滤输液器""]"
