keywords
"[""Sodium Electrode (钠电极"",""Calcium Electrode (钙电极"",""PCO2 Electrode (二氧化碳分压电极"",""pH Electrode (pH电极"",""SAPS Single Action Pumping System (内腔清洗器（商品名：SAPS）"",""Nasal Mask (鼻罩"",""ARCHITECT Total β-hCG Reagent Kit (总β人绒毛膜促性腺激素测定试剂盒(化学发光微粒子免疫检测法)"",""ECHOGRAPH (超声眼科专用诊断仪"",""Flor-Opal Varnish White (氟保护剂"",""矫治器 (矫治器"",""RelyXTM Ceramic Primer (陶瓷表面处理剂"",""VITROS Immunodiagnostic Products Total T3 Reagent Pack (总三碘甲状腺原氨酸测定试剂包(化学发光法)"",""GLUTATHIONE REDUCTASE (谷胱甘肽还原酶检测试剂盒(紫外酶法)"",""LIAISON（R） XL murex Control HCV Ab (丙型肝炎病毒抗体质控品"",""VITROS Chemistry Products hsCRP Performance Verifier I,II and III (C反应蛋白质控品""]"
"[""Modular Replacement System-(MRS)Cemented Stems (股骨柄(商品名：MRS)"",""Secur-Fit Shell (髋关节假体-髋臼杯"",""Crossfire Insert (髋关节假体-聚乙烯内衬"",""OPAL (椎间融合器(商品名：OPAL)"",""Revision Hip Stem (翻修型股骨柄(商品名：Wagner SL)"",""TI Cage (钛制融合笼（商品名：Intromed）"",""Intromed PEEK Cage System (聚醚醚酮制椎间融合器（商品名：Intromed）"",""VITROS Chemistry Products AMYL DT Slides (淀粉酶测定干片(终点法)"",""VITROS Chemistry Products Fe DT Slides (铁测定干片(速率法)"",""IMMULITE 2000 GI-MA (糖类抗原19-9测定试剂盒(化学发光法)"",""DIRECT HDL-cholesterol(HDL) (高密度脂蛋白固醇检测试剂盒(酶清除法)"",""Mont Blanc (脊柱内固定系统组件"",""DISCOCERV Cervical Disc Prosthesis (人工椎间盘(商品名：DISCOCERV)"",""Iron Liquicolor (血清铁测定试剂盒(比色法)"",""Calibrator 27 (茶碱校准品""]"
"[""INSUPEN Sterile Pen Needle (无菌笔式注射针"",""LUMBOSACRAL BAND (腰部护带(商品名：SPINAL ORTHOSIS)"",""LUMBOSACRAL BAND (腰部护带(商品名：SPINAL ORTHOSIS)"",""Optilene Mesh (疝补片(商品名：Optilene)"",""Immunoglobulins IgG/A/M (免疫球蛋白G/A/M测定试剂盒(免疫比浊法)"",""VITROS Chemistry Products GLU Slides (葡萄糖测定干片(比色法)"",""ASAHI Neurovascular Guide Wire (神经血管导丝（商品名：ASAHI）"",""自粘性软聚硅酮泡沫敷料 (自粘性软聚硅酮泡沫敷料"",""自粘性软聚硅酮普通型泡沫敷料 (自粘性软聚硅酮普通型泡沫敷料"",""Internal Fixation System for Cervical Spine (颈椎前路固定板系统（商品名：Intromed）"",""细胞质控品 (细胞质控品"",""SD BIOLINE H.pylori Ag Rapid test kit (幽门螺旋杆菌抗原检测试剂盒(胶体金法)"",""SD BIOLINE RSV (呼吸道合胞病毒抗原检测试剂盒(胶体金法)"",""Rheumatoid Factors(RF) (类风湿因子测定试剂盒(免疫比浊法)"",""Vital Signs Monitor (生命体征监护仪""]"
"[""レジウスカセッテ (影像板暗盒"",""Vitallium 2000 PLUS Alloy (钴铬钼义齿支架合金"",""Vitallium 2000 Alloy (钴铬钼义齿支架合金"",""歯科メタルセラミック修復用陶材 (牙科金属烤瓷瓷粉(商品名：Noritake EX-3)"",""Wires,Pins and Schanz Screws (钢丝、骨针、Schanz钉"",""C-peptide Calibrator (C肽校准液"",""Dentistry-Silicone Impression Materials (牙科硅橡胶弹性印模材料"",""Orthopaedic Instruments (骨科矫形工具"",""Surgical Instruments (骨科手术工具"",""Orthopaedic Instruments (骨科矫形工具"",""Innomed Retractor (骨科手术拉钩(商品名：Innomed)"",""IRON (铁检测试剂盒(亚铁嗪法)"",""Uric Acid PAP fluid 5+1 with ASOD (尿酸检测试剂盒(PAP法)"",""CUTICERIN (羊毛脂醇油纱(商品名：爱敷锦)"",""Spinal Device Instrumentation Set (脊柱固定系统手术工具(商品名：Instinct Java System)""]"
"[""BodyTite (射频治疗仪"",""Thermal Welding System (电热能手术系统（商品名：斯塔瑞(Starion)）"",""Cannulating Sphincterotome (括约肌切开刀（商品名：TRUEtome）"",""Single Use Laryngeal mask Airway (一次性使用喉罩"",""Automated Biochemical Analyzer (全自动生化分析仪"",""Bronchial Thermoplasty Catheter (支气管热成形导管(商品名：Alair)"",""HyFlex CM NiTi Files (牙科根管锉(商品名：HyFlex CM)"",""Octopus Nuvo Tissue Stabilizer (心脏固定器（商品名：Octopus Nuvo）"",""Powertools (动力系统（商品名：EMax 2 Plus System）"",""ARCHITECT Anti-TPO Calibrators (甲状腺过氧化物酶抗体校准品"",""IMMULITE2000 Total T4 (总甲状腺素测定试剂盒(化学发光法)"",""IMTEC-ANTI-C1q-ANTIBODIES (抗C1q抗体测定试剂盒(酶联免疫法)"",""Blood Gas Control Level 1 (血气分析质控品"",""NEUROMETER(R) CPT/C (感觉神经定量检测仪"",""心电图仪心電計 カルジオファックス S (心电图仪""]"
"[""Spot Check Device (生命体征检测仪"",""InLay Optima Ureteral Stent (输尿管支架"",""Avaulta Plus Biosynthetic Support System (生物骨盆底修复系统(商品名：爱唯她Plus)"",""Polyurethane Ureteral Catheter (输尿管导管"",""StatLock Securement Device (导管固定装置(商品名：思乐扣)"",""Tools (螺丝起(商品名：48小时螺丝起)"",""ARCHITECT FSH Reagent Kit (卵泡刺激素测定试剂盒（化学发光微粒子免疫检测法）"",""Nasal Gel Mask (鼻罩"",""Sterile Polyisoprene Surgical gloves for single use (一次性使用灭菌聚异戊二烯外科手套"",""Image Processing software (影像处理软件"",""Cardiac Contrast Injection Protocol Software (心脏造影注射方案软件"",""Ultrasound imaging and processing system (超声成像处理系统"",""Lead Extender (电极延长线（商品名：BulldogTM）"",""Chesbrough Breast Localization Wire (乳腺定位针"",""Chek-Stix Positive and Negative Controls Strips (尿分析阳性和阴性质控试纸""]"
"[""Albumin Reagents (ALB) (白蛋白测定试剂盒(溴甲酚绿法)"",""Triglycerides Reagents (TRIG) (甘油三酯测定试剂盒(酶法)"",""Cyclosporine Extended Range Calibrator(CSAE Cal) (环孢霉素定标液"",""Cyclosporine Calibrator (CSA Calibrator) (环孢霉素定标液"",""VITROS Chemistry Products Calibrator Kit 11 (万古霉素校准品"",""Non-invasive Blood Pressure Measurement System (便携式血压检测仪"",""The system of sterile acupuncture needle (无菌针灸针系统"",""ABX RETIX (网织红细胞染色剂"",""Hemolysis Diluent Solution (溶血稀释液(GOD-H2O2酶电极法)(商品名：Sample Cups 2.0 ml,clear,prefilled  )"",""VARIANT II TURBO Hemoglobin A1c Wash/Diluent Set (洗液/稀释液"",""LIAISON(R) XL murex HBsAg Quant Specimen Diluent (乙型肝炎病毒表面抗原样本稀释液"",""Premier Hb9210 HbA1c Analytical Column (层析柱"",""Variant Assay Analytical Column (层析柱"",""ARCHITECT Syphilis TP Calibrator (梅毒螺旋体抗体校准品"",""ALBUMIN liquicolor (血清白蛋白测定试剂盒(终点法)""]"
"[""LDL Cholesterol liquicolor (低密度脂蛋白胆固醇测定试剂盒(消除法)"",""Chloride Electrode (氯电极"",""Coronary Stent System (钴铬(CoCr)冠状动脉支架系统(商品名：PRO-Kinetic Energy)"",""BenchMark Special Stains System (全自动特殊染色机(商品名：BenchMark全自动特殊染色机)"",""Ghiatas Beaded Breast Localization Wire (乳腺定位针"",""PDS Plate (面部内固定及成型材料(商品名：PDS)"",""Pillar Palatal Implant System (软腭植入支架组件(商品名：Pillar)"",""LINK Cementless Hip Prostheses CombiCup Ceramic Inserts (髋关节假体(非骨水泥型)--陶瓷内衬"",""Pedicle Screw System (脊柱内固定系统"",""Cannulated Screw (空心螺钉"",""Pusher (推进导管"",""VITROS Chemistry Products VANC Reagent (万古霉素测定试剂盒(免疫法)"",""CLEARAFIL TRI-S BOND DENTAL BONDING AGENT (牙科树脂粘合剂(商品名：可乐丽菲露 S3 BOND)"",""ISOBAR TTL- MODULE IN (脊柱内固定系统组件(商品名：TTL IN)"",""GORE EXCLUDER AAA Endoprosthesis (腹主动脉覆膜血管内支架系统(商品名：GORE EXCLUDER)""]"
"[""起子 (耳鼻喉科手术工具(商品名：复生特耳鼻喉科手术工具)"",""耳用ナイフ (耳用刀(商品名：复生特耳用刀)"",""Automatic tissue processor (自动组织处理机"",""Trolley (推车床(商品名：Lifeguard)"",""AjustTM Adjustable Single Incision Sling (可调节单切口吊带系统（商品名：可恰悬吊带）"",""InLay Ureteral Stents (输尿管支架(商品名：留置)"",""AquaGuide Ureteral Access Sheath (双腔鞘（商品名：Bard AquaGuide Ureteral Access Sheath）"",""LIAISON(R) hGH (人生长激素定量测定试剂盒(化学发光法)"",""Standing Frame (站立架"",""Radiographic Film Processor (X射线胶片洗片机(商品名：Optimax 2010)"",""スクリーン型医用X線·画像診断用フィルム (医用X射线胶片(商品名：富士直接摄影用胶片)"",""Radiographic Film Processor (X射线胶片洗片机(商品名：Optimax)"",""HemosIL AcuStar D-Dimer (D-二聚体检测试剂盒(化学发光免疫分析法)"",""血漿分離用血液回路 (血液净化用回路"",""Trima Automated Blood Collection System (血液成分分离机""]"
"[""前眼部形狀解析裝置 (角膜地形图仪"",""Surgical Microscope (手术显微镜"",""Surgical Microscope (手术显微镜"",""Cold light fountain (医用内窥镜冷光源"",""手术显微镜 (手术显微镜"",""HYSTEROSCOPY AND ACCESSORIES (宫腔镜及附件"",""Operating Table (电动液压手术台"",""レジウスプレート (影像板"",""Arthroscopy (关节镜(商品名：蛇牌)"",""腎盂尿管ビデオスコープ (电子输尿管肾盂镜"",""ENDOPATH Endoscopic Linear Cutters (腔镜直线型切割吻合器(商品名：ENDOPATH)"","" (全自动血细胞分析仪(商品名：Celltacα)"",""全自動血球計数器 MEK-7222 セルタック E (全自动血细胞分析仪(商品名：Celltac E)"",""Automated Biochemical Analyzer (全自动生化分析仪"",""Hct Sensor (红细胞压积电极""]"
"[""LIAISON? Insulin (胰岛素测定试剂盒(化学发光免疫法)"",""Ortho BioVue(R)System ABD Confirmation Cassette (ABO/Rh血型复检卡"",""Paperless Electroencephalograph (数字化脑电图仪"",""カートリッジシリンジ (牙科注射推动器"",""Dental Instruments (牙科种植体手术工具"",""Needle holder (持针钳"",""Retractors (牵开系统"",""Torqmax Sheath Grip Accessory (扩张鞘夹紧装置"",""Bloodlines (血路管"",""Dental volumetric tomographs (口腔X射线数字化体层摄影设备"",""X-ray Bone Densitometer (X射线骨密度测定仪"",""X射线计算机体层摄影设备 X-ray equipment for computed tomography (X射线计算机体层摄影设备 X-ray equipment for computed tomography"",""X ray On-Board Imaging Positioning System (X射线机载定位引导系统"",""HDR Brachytherapy Afterloader (后装机"",""D-SPECT Cardiac Scanner System (单光子发射计算机断层扫描系统(商品名：D-SPECT)""]"
"[""レジウスカセッテ (影像板暗盒"",""Clearfil SE Bonding Agent Resin-Based Dental Adhesive System (牙科树脂粘合剂(商品名：可乐丽菲露 SE BOND)"",""Detachment System (电解脱系统"",""Forceps (镊子(商品名：Ergonic)"",""Retractors (牵开系统"",""Curette (刮匙(商品名：TSI)"",""Blood Gas Control Level 3 (血气分析质控品"",""CELL-DYN Sapphire System (血细胞分析仪"",""免疫测定仪 (免疫测定仪"",""3M N95 Particulate Respirator and Surgical Mask-Cone (医用防护口罩(商品名：3M医用防护口罩)"",""Natural latex rubber condoms (天然胶乳橡胶避孕套"",""HemosIL AcuStar Anti-Cardiolipin IgG (抗心磷脂IgG抗体检测试剂盒(化学发光免疫分析法)"",""Operating Table (电动液压手术台(商品名：OPT)"",""Checkpoint Driver,Square Driver (攻螺丝器"",""Cage of ALIF- Instrument (骨科手术工具""]"
